post_num,post_idx,text,topic_tag,sentiment_tag
0,0,הצהרתו של נשיא ארהב להכיר ב ריבונות ב רמת הגולן היא הוכחה נוספת ל ה קשר ה חזק ו ה חם בין ה נשיא טראמפ לבין רהמ נתניהו,1,1
0,1,אשר מחזק את ה ידידות ה עמוקה ו ה מחויבות בין ה מדינ,1,1
1,0,עם ישראל עם ה גולן,0,2
1,1,תודה ל נשיא ארצות ה ברית דונלד טראמפ,1,1
1,2,ש בחר ב ה פורים לתת ל ה עם ישראל סיבה נוספת לשמוח,1,1
1,3,ו החליט להכיר ב ה ריבונות ה ישראלית ב רמת ה גולן,1,1
1,4,מדובר ב חלק בלתי נפרד מ עם ישראל,0,2
1,5,מ ארץ ישראל ו מ מדינת ישראל,0,2
1,6,מ חוייביםלריבונ,0,2
2,0,אני מברכת על ה החלטה ה נכונה של מחלקת ה מדינה ה אמריקאית לבטל את ה מונח ה שקרי ש טחים כ בושים,1,1
2,1,החלטה זו משקפת את ה מציאות ש מדינת ישראל היא מדינת ה עם ה יהודי מולדתנו בת אלפי ה שנים,1,1
2,2,שוב תודתנו נתונה ל נשיא טראמפ ש מוכיח פעם אחר פעם את ידידותו ה עמוקה ל ישראל,1,1
2,3,ה שמאל אמנם ימשיך ל ה פמפם את ה שקר ו ה נרטיב ה פלסטיני על שטחים כבושים דמיוניים,0,2
2,4,אבל ה כבושים ה יחידים ב ישראל הם ה חמוצים,0,2
2,5,ארץ ישראל תישאר מדינת ה לאום של ה עם ה יהודי ו רק של ה,0,2
3,0,בני גנץ אומר ב ראיון ש יש לגרש עוד יהודים מ ה ביתבאופן ה ומאניבמהלך התנתקות חד צדדית מ יהודה ו שומרון,0,2
3,1,לאור תכנית טראמפ ל מדינה פלסטינית ש ממתינה ל אנחנו מיד לאחר ה בחירות,1,0
3,2,יש כאן סכנה ברורה ו מיידית ל ה התיישבות,1,-1
3,3,רק מפלגת ה ימין ה חדש חזקה תמנע מ בני גנץ ל היות שר ה ביטחון ב ממשלת נתניהו ה ב,2,0
4,0,ישראל תגן על עצמה ב כוחות עצמה,0,2
4,1,גם ללא ה נוכחות ה אמריקאית ב סוריה זה מה ש אמרתי הערב ב ה מטה ה מרכזי עם אילה חסון על החלטת ה נשיא טראמפ מ ה שבוע ש עבר,1,0
4,2,ו עוד סקופ מפתיע על גילת אשתי ו על ה ממשלה ה נוכחית,0,2
4,3,צפו ב ה ראיון ה מ,0,2
5,0,ה נצחון ה דמוקרטי ב ה מירוץ ל ה קונגרס ב ארהב יוצר לא מעט אתגרים ל ה ממשלה ה נוכחית,1,-1
5,1,כבר יותר מ שנתיים ש כולם אומרים לנתניהו ש זה יקרה,2,0
5,2,אבל הוא חשב ש הוא יודע יותר טוב,2,-1
5,3,קודם כל מפני ש זה יקשה על טראמפ להמשיך לעבוד,1,-1
5,4,לא היה ל אנחנו ו אולי גם לא יהיה נשיא אמריקאי ידידותי יותר ל ישראל,1,1
5,5,ב ה שנתיים ה אחרונות הוא עשה סדרה של צעדים מבורכים,1,1
5,6,העברת ה שגרירות,1,1
5,7,ביטול הסכם ה גרעין ו החזרת ה סנקציות,1,1
5,8,ביטול ה תקציב ל ה אונרא,1,1
5,9,ה מלחמה ה גלויה ב ה אום,1,1
5,10,מה ש מחמיר את ה מצב היא ה עובדה ש נתניהו מזוהה היום ב אופן מוחלט עם ה מפלגה ה רפובליקנית,2,-1
5,11,שיתוף ה פעולה ה צמוד של הוא ו של ה שגריר של הוא רון דרמר עם ה רפובליקנים ריסק ל ה רסיסים כל נסיון להעמיד פנים ש ישראל נמצאת מ חוץ ל ה מגרש ה פוליטי ב ה ארהב,2,-1
5,12,אני לא מוכנה ש הוא ייכנס אצל אני ב ה דלת,2,0
5,13,אמרה ל אני על דרמר חברת קונגרס דמוקרטית משפיעה במיוחד,0,2
5,14,הוא לא ישראלי,2,0
